donor_description,height,weight,eye_color,hair_color,skin_tone,education_level,education_field,ethnic_background,religion,occupation,interests_hobbies
"Mr. World Traveler. An adventurous globe trotter with straight black hair, light olive skin, full lips, and dreamy brown eyes, this fun-loving, multilingual (English/Korean) financial advisor is looking forward to visiting South America and Antarctica – the only two continents he’s yet to roam. Friendly, outgoing, and responsible, is a serious basketball fan with a BS in business. His close-knit Korean family instilled his deep appreciation of hard work and education (he sees an MBA in his future). **The pictures provided are meant to represent the interests and/or activities of the donor. These are not photographs of the donor engaging in the activities.**. Ben Huh Park Yong Ha",5'9 (175cm),187 lbs (85kg),Brown,Black,,Bachelor,"Business, Management",Asian,Christian,,
"In the Spotlight. Since childhood, has loved the limelight. This blue-eyed guy has an MBA in entrepreneurial finance and works as head of operations. Aside from career accomplishments, this donor shines musically and athletically; he was a district champ in high school swim and has played piano for 20 years. Whether it’s Mozart or a song on the radio, this pianist can play it beautifully. He's even a well-seasoned traveler who recently completed a year-long journey – visiting a total of 22 countries!",5'11 (180cm),185 lbs (84kg),Blue,Brown,,Master,"Business Administration, International Business",Caucasian,Christian,,
"Bilingual Nurse. ’s greatest passion? Helping his patients heal. This dedicated Filipino nurse has thick dark hair and firmly believes that health is wealth—staying fit with basketball and eating home-cooked meals. He’s the best gift giver to his friends and family and always super generous, especially if it means he can get them the perfect present. This sweet donor might come off as shy at first but he’s adventurous when it counts (like making epic memories whitewater rafting with friends).",5'10 (178cm),139 lbs (63kg),Brown,Dark Brown,,Bachelor,Nursing,Asian,Evangelical,,
"Explorer at Heart. is an explorer at heart. With a true lust for life (and dimples), he is always seeking the next adventure or new experience. This doe-eyed donor has an MS in nutrition and food science, and now works as a research assistant. He’s super sporty and enjoys cycling, hiking, and handball in his free time. In terms of creative outlets, he dances, writes, and edits videos. Persistency has been key throughout his life, and if he wants to make a dream a reality, he’ll find a way!",5'11 (180cm),203 lbs (92kg),Brown,Black,,Master,"Nutrition, Physical Education",Caucasian,,,
"Foodie First Responder. is aeronautics major with an infectious smile and an eye on the sky (he’s close to getting his pilot’s license). A true empath, he likes to pay it forward — as a firefighter, with military service, giving blood, or just using his goofy side to elicit a smile. He also loves extreme sports and deep dives into any subject that interests him. His love of art began when painting with his mom while watching Bob Ross. And as a foodie, he’s now the one to make his Dominican dad’s famous pasta recipe.",5'9 (175cm),172 lbs (78kg),Brown,Dark Brown,,Bachelor,Aeronautical Sciences,Hispanic or Latino,,,
"Smart, Fit, and Fun. Now going for his B.S.in Exercise Physiology, is following up a stellar high-school career (e.g., 4.3 GPA, varsity football player of the year, 99th percentile in state mathematics exam, etc.) and service in the Marine Corps with an equally impressive list of achievements at the college level. This multilingual (English/Spanish/Taishanese) multiport athlete is focused on a career in physical therapy – an interest he chalks up to his healthy, long-lived family’s love of fitness.",5'10 (178cm),181 lbs (82kg),Black,Black,,Bachelor,"Exercise Physiology, Health Science",Asian,,,
"Desert Poet Drummer. Life as a young boy in a small desert town in Mexico taught about the importance of family, the beauty of nature, and the fun of dirt bikes. He carried these lessons with him to the States, where this committed environmentalist grew to be a superb drummer (rock, but prefers jazz), a master of jiujitsu, and – in his own words - an above average cook who makes his own kimchi and kombucha. Currently working on his Master’s in Public Health, he relaxes by playing rugby and writing poetry.",6'1 (185cm),165 lbs (75kg),Brown,Dark Brown,,Master,Public Health,Caucasian,,,
"Mindful Musician. With his wavy brown hair and thoughtful brown eyes, blends creativity with intellect. He holds a bachelor's in economics and excels in Music Technology. This multi-instrumentalist speaks English, Arabic, and French, and channels his creativity into both music production and competitive sports like hockey and soccer. Raised by loving parents, his deep familial connections fuel his empathetic nature, making him the heart of any gathering.",6' (183cm),200 lbs (91kg),Brown,Brown,,Bachelor,Economics,Middle Eastern or Arabic,,,
"Resilient. was ready to try out for major college soccer teams… but then he tore his ACL. This positive, resilient guy didn’t let the injury set him back, though. He turned lemons into lemonade by dedicating himself to physical therapy, taking a year off to travel, and applying to college teams with a video reel of his past games. His resourcefulness and passion paid off, and he’s now the starting forward on a college team. When he’s not playing soccer (which is most of the time), this 6’ tree-hugger-at-heart spends his time working toward his environmental studies degree, going on spontaneous camping adventures with his friends, and exploring his creative side with drawing and ceramics.. James Roday Elias Toufexis",6' (183cm),173 lbs (78kg),Brown,Dark Brown,,Bachelor,"Environmental Studies, Sciences","Asian, Caucasian",,,
"Future PhD. On his way to a PhD in biomedical engineering, this inventive, bilingual (English/Spanish) foodie is already making a huge impact in the science and medical fields. As athletic as he is intelligent, lettered in both soccer and lacrosse.",5'9 (175cm),135 lbs (61kg),Brown,Dark Brown,,Postgraduate,"Biomedical Engineer, Mechanical Engineering, Spanish",Caucasian,,,
"Outgoing Electrician. finds joy in helping others, which is a big part of why he’s so passionate about his work as an electrician. He’s proud of his career and continually studies his trade to further his knowledge, skills and service. Outside of his profession, this kind brown-eyed guy is incredibly active. He loves to play soccer and volleyball, as well as hike and explore nature. His most memorable trek was a whopping 20 miles! And he enjoys listening to music and dancing as his creative outlets.",5'9 (175cm),174 lbs (79kg),Brown,Dark Brown,,Other,,Hispanic or Latino,,,
"Loves to Help. is brimming with positivity, from the tips of his stylishly-spiked dark hair down to his toes. His nice big smile shows off his sweet and charming personality, and while he surely knows he’s a sharp dresser, this humble guy would never brag. A behavioral therapist, he appreciates the opportunity to help people every day, and when he isn’t helping others, he helps himself improve in any way he can. He loves the great outdoors, and you can find him learning the guitar, or honing his basketball skills as often as you can find him playing a game of flag football or soccer among friends.. Awal Ashaari Dante Basco (young)",6' (183cm),190 lbs (86kg),Brown,Black,,Bachelor,Psychology,"Caucasian, Asian",,,
"MVP to Med School. Tall, with beautiful black hair and an infectious smile, is a true standout. This MVP athlete is a talented film photographer and a promising songwriter, with two songs already streaming on Spotify. Currently working as a medical assistant, he's a Chancellor's Honors list student who graduated cum laude with a B.S. in Biology (3.8 GPA). His future plans include medical school (he earned an impressive 516 out of 528 on his MCAT) and continuing to blaze new trails as a Hip-hop artist.",5'10 (178cm),158 lbs (72kg),Brown,Black,,Bachelor,Biological & Biomedical Sciences,Asian,,,
